"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Indians","29","1930","5683","6512","1639","1078","310","30","221","950","889","685","27","1057","51","52","41","134","113","34",".288","","","","","","","","","","","10.5 %","16.2 %","0.65",".367",".470",".837",".182",".318","","","","","","","","",".364","132.2","987","81.3","-14.0","210.5","-15.4","294.1","27.1","","4.8","109","4.70","-112.59","117.29","84.96","7.84","0.98","1.84","62","6.39","-1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-29.4","7.8","","24 - 37","89.1","23.8","","","","","","","","30.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","29","2303","5570","6444","1547","973","289","36","249","938","900","673","57","1129","83","61","57","154","114","52",".278","","","","","","","","","","","10.4 %","17.5 %","0.60",".361",".477",".837",".199",".305","","","","","","","","",".361","106.3","952","45.6","-55.0","208.3","44.1","252.2","23.0","","5.0","105","-3.42","-117.87","114.45","40.23","3.85","0.99","1.30","270","2.88","-6.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.9","-0.3","","23 - 38","45.3","9.5","","","","","","","","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","29","2123","5519","6418","1535","961","304","44","226","925","889","709","60","1032","51","66","73","131","79","39",".278","","","","","","","","","","","11.0 %","16.1 %","0.69",".362",".472",".834",".194",".303","","","","","","","","",".359","99.9","943","105.0","5.0","207.5","48.7","374.3","34.7","","4.6","112","11.74","-102.42","114.15","144.76","13.58","0.94","1.35","231","11.67","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7","-1.3","","23 - 38","103.7","9.5","","","","","","","","30.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","27","1791","5646","6410","1615","1041","325","33","216","978","926","591","28","960","53","61","55","140","119","42",".286","","","","","","","","","","","9.2 %","15.0 %","0.62",".356",".470",".826",".184",".309","","","","","","","","",".357","92.1","934","53.2","6.0","207.2","-15.6","279.5","25.9","","5.1","106","2.53","-105.83","108.36","76.64","6.42","0.92","1.79","72","2.38","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.6","5.3","","22 - 41","58.5","23.4","","","","","","","","27.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","28","2066","5560","6432","1501","958","281","23","239","947","908","750","32","1159","52","44","26","147","40","15",".270","","","","","","","","","","","11.7 %","18.0 %","0.65",".360",".458",".817",".188",".300","","","","","","","","",".356","86.9","931","78.8","-45.0","208.0","-17.9","249.3","22.8","","3.7","109","7.32","-105.78","113.10","109.87","9.84","0.94","1.51","141","4.88","2.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-62.9","1.9","","22 - 37","80.7","23.5","","","","","","","","33.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angels","28","1839","5628","6373","1574","995","309","34","236","864","837","608","43","1024","47","43","47","126","93","52",".280","","","","","","","","","","","9.5 %","16.1 %","0.59",".352",".472",".825",".193",".303","","","","","","","","",".356","83.6","920","54.5","70.0","206.1","-17.3","331.9","31.3","","4.3","106","0.43","-117.99","118.42","-3.36","-0.52","1.02","1.51","86","2.50","-2.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.7","-4.5","","23 - 35","49.9","23.3","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","30","2196","5478","6369","1481","962","259","25","235","887","841","675","33","1253","84","53","79","117","87","51",".270","","","","","","","","","","","10.6 %","19.7 %","0.54",".356",".455",".812",".185",".308","","","","","","","","",".353","64.3","901","41.2","45.0","205.9","37.1","333.4","31.2","","4.3","105","7.08","-106.17","113.24","76.05","6.81","0.94","1.24","233","8.54","-1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.1","-5.2","","20 - 38","36.0","9.4","","","","","","","","34.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","29","2221","5660","6453","1664","1130","320","53","161","968","905","601","64","907","42","75","75","126","131","61",".294","","","","","","","","","","","9.3 %","14.1 %","0.66",".362",".455",".816",".161",".322","","","","","","","","",".353","67.3","915","-154.8","55.0","208.6","45.6","162.9","15.5","","5.5","82","1.47","-114.61","116.08","76.09","4.85","0.99","1.41","283","-0.33","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.6","-1.0","","22 - 35","-155.8","9.5","","","","","","","","25.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","30","1985","5497","6444","1481","957","300","26","198","907","869","775","34","1073","48","61","63","129","122","56",".269","","","","","","","","","","","12.0 %","16.7 %","0.72",".361",".442",".803",".172",".299","","","","","","","","",".352","61.0","907","65.0","28.0","208.3","-16.0","308.3","28.8","","4.7","107","3.04","-104.46","107.50","105.57","9.63","0.94","1.41","104","5.54","-2.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","-0.5","","23 - 41","64.5","23.5","","","","","","","","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","32","2061","5556","6311","1541","1017","294","25","205","871","833","631","42","1007","57","50","16","134","99","48",".277","","","","","","","","","","","10.0 %","16.0 %","0.63",".354",".450",".804",".173",".304","","","","","","","","",".350","50.4","879","38.6","-24.0","204.0","-15.5","224.7","20.6","","4.3","105","2.06","-105.23","107.30","22.10","1.99","0.93","1.56","78","-0.65","2.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-39.5","-1.5","","24 - 37","37.1","23.0","","","","","","","","29.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
