"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Red Sox","31","2417","5720","6515","1613","993","373","25","222","949","912","659","39","1189","69","55","12","123","68","30",".282","1891","1777","898","208","25602","9889","15713","118","32","5","10.1 %","18.3 %","0.55",".360",".472",".832",".190",".319","1.06","19.7 %","41.4 %","38.9 %","11.7 %","12.5 %","6.2 %","15.6 %",".358","155.9","964","115.0","-50.9","202.2","-15.7","253.7","24.7","$103.7","4.4","114","9.48","-109.17","118.65","137.29","12.82","0.96","1.38","112","10.19","-0.30","62.9 %","89.8","12.0 %","82.4","1.5 %","86.6","8.6 %","75.1","13.4 %","80.7","1.7 %","82.7","","","6.4 %","0.3 %","110.9","2.4","4.5","2.8","20.1","-0.3","","0.74","0.08","1.27","0.14","0.63","-0.07","","17.7 %","68.8 %","44.2 %","55.2 %","86.0 %","80.1 %","51.9 %","57.5 %","8.8 %","-17.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-66.6","-0.9","-22.1","21 - 39","97.9","20.2","5.9","47.4 %","27.3 %","25.3 %","12.0 %","56.9 %","31.1 %","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","31","2281","5527","6364","1483","940","281","20","242","897","863","670","40","982","80","50","37","157","84","33",".268","2053","1671","844","162","24166","9661","14505","156","64","13","10.5 %","15.4 %","0.68",".353",".458",".811",".189",".285","1.23","18.5 %","44.9 %","36.6 %","9.7 %","14.5 %","7.6 %","20.3 %",".350","107.7","897","101.2","-73.4","197.5","-14.7","223.3","21.7","$91.3","4.3","112","14.45","-104.33","118.78","119.15","11.69","0.96","1.46","86","11.53","3.54","61.4 %","90.3","12.3 %","82.8","1.4 %","86.6","9.5 %","75.4","11.9 %","80.8","2.1 %","83.3","1.4 %","68.5","4.2 %","0.2 %","80.7","3.9","3.8","7.6","12.6","-4.8","-4.5","0.57","0.14","1.17","0.35","0.46","-0.97","-1.37","15.4 %","68.0 %","43.1 %","55.8 %","86.5 %","81.3 %","52.6 %","55.3 %","8.0 %","-7.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-88.1","1.0","-4.7","20 - 39","94.1","19.8","-3.4","45.8 %","28.5 %","25.7 %","15.5 %","56.3 %","28.2 %","29.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","28","2287","5676","6452","1565","1007","345","29","184","858","820","606","41","1009","78","42","47","143","94","55",".276","2035","1716","929","196","24636","9641","14995","119","76","16","9.4 %","15.6 %","0.60",".351",".444",".795",".168",".305","1.19","19.9 %","43.5 %","36.7 %","11.4 %","10.7 %","5.8 %","21.1 %",".345","79.0","879","77.4","-1.8","200.2","-16.4","274.8","26.8","$112.4","4.4","109","4.00","-116.95","120.95","64.63","6.55","1.03","1.88","89","4.37","-0.50","62.2 %","89.7","13.8 %","82.3","1.1 %","85.1","8.8 %","75.4","12.0 %","80.2","1.8 %","82.8","0.3 %","67.3","5.4 %","0.3 %","64.9","7.0","-2.5","2.1","0.7","-5.7","0.2","0.45","0.22","-1.01","0.10","0.03","-1.35","0.27","17.3 %","67.0 %","43.4 %","58.9 %","87.2 %","81.8 %","52.6 %","57.2 %","7.9 %","-4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.2","-6.5","6.7","21 - 37","72.7","20.0","-4.9","45.0 %","28.1 %","27.0 %","12.9 %","58.2 %","28.8 %","27.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","29","2351","5577","6333","1531","964","331","34","202","833","795","568","51","1181","54","37","97","132","44","33",".275","1969","1533","862","155","23979","8978","15001","121","166","31","9.0 %","18.6 %","0.48",".345",".455",".800",".180",".314","1.28","19.8 %","45.1 %","35.1 %","10.1 %","13.2 %","6.1 %","18.7 %",".344","68.9","854","-59.8","-43.2","196.5","39.4","145.1","14.1","$59.3","4.0","93","-1.94","-116.69","114.75","-2.87","-0.76","1.02","1.24","287","1.08","-2.98","62.9 %","89.8","13.1 %","82.6","0.9 %","85.9","8.3 %","75.4","12.6 %","81.3","1.8 %","81.5","0.3 %","70.4","11.7 %","0.1 %","75.9","-20.1","-2.1","-6.5","-18.6","4.2","3.2","0.57","-0.73","-1.10","-0.37","-0.70","1.10","4.41","22.5 %","72.1 %","47.4 %","59.8 %","81.3 %","76.2 %","50.2 %","58.9 %","11.2 %","-4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.7","-6.9","2.8","23 - 41","-64.7","17.0","-0.8","41.2 %","28.8 %","30.0 %","14.3 %","58.1 %","27.7 %","30.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","30","2381","5555","6297","1544","987","319","24","214","855","817","548","64","1085","51","70","73","121","111","47",".278","1933","1609","949","162","23819","8899","14920","131","122","25","8.7 %","17.2 %","0.51",".344",".460",".804",".182",".307","1.20","21.1 %","43.0 %","35.8 %","10.1 %","13.3 %","6.8 %","20.5 %",".344","67.3","848","53.3","19.0","195.4","41.6","345.1","33.6","$141.1","4.5","107","11.60","-105.28","116.88","119.99","11.86","0.98","1.28","272","11.60","0.18","61.7 %","90.5","14.7 %","83.1","0.6 %","86.0","9.4 %","75.3","11.2 %","81.4","2.1 %","83.8","0.4 %","66.7","6.3 %","0.5 %","68.4","-27.3","0.1","2.9","23.9","-1.0","4.2","0.50","-0.84","0.11","0.14","0.96","-0.23","4.99","19.5 %","70.5 %","46.7 %","59.4 %","83.4 %","78.7 %","53.3 %","60.4 %","9.9 %","18.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7","0.5","18.3","21 - 37","72.1","16.9","0.1","41.3 %","29.6 %","29.1 %","13.9 %","59.0 %","27.2 %","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","29","2317","5643","6456","1505","964","303","23","215","840","802","645","60","1133","58","46","64","123","100","27",".267","1920","1623","962","160","24767","9497","15270","112","115","21","10.0 %","17.5 %","0.57",".345",".443",".788",".176",".297","1.18","21.4 %","42.6 %","36.0 %","9.9 %","13.2 %","5.8 %","18.3 %",".340","51.8","852","0.4","11.9","200.3","38.5","273.9","26.7","$112.0","4.4","100","5.01","-119.92","124.93","58.98","5.62","1.08","1.45","257","7.37","-2.71","63.5 %","89.9","14.1 %","82.7","0.9 %","84.5","9.3 %","75.9","10.4 %","81.0","1.5 %","83.7","0.3 %","68.9","5.4 %","0.2 %","47.1","-18.0","0.8","10.1","15.3","-4.0","2.1","0.32","-0.55","0.37","0.46","0.63","-1.10","2.83","18.7 %","67.1 %","44.0 %","59.9 %","85.5 %","80.3 %","52.4 %","58.4 %","8.6 %","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4","6.9","-3.9","21 - 39","5.8","17.3","2.5","43.1 %","29.9 %","27.0 %","14.1 %","55.6 %","30.3 %","30.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","29","2245","5534","6197","1481","936","284","19","242","865","823","499","25","1030","63","42","58","119","78","51",".268","1828","1785","863","243","23320","8566","14754","131","128","29","8.1 %","16.6 %","0.48",".333",".457",".790",".189",".288","1.02","19.3 %","40.8 %","39.9 %","13.6 %","13.6 %","7.2 %","22.7 %",".340","49.5","818","8.9","35.4","192.3","-16.0","238.2","23.2","$97.4","4.1","101","5.17","-104.32","109.49","54.67","4.96","0.95","1.34","130","2.36","3.09","62.6 %","89.9","14.4 %","82.3","0.6 %","84.6","9.5 %","75.8","11.1 %","79.7","1.5 %","83.0","0.4 %","76.0","4.8 %","0.2 %","73.2","-26.2","-1.9","-9.2","11.0","1.5","0.9","0.53","-0.82","-1.51","-0.44","0.44","0.45","0.97","18.5 %","71.0 %","47.0 %","57.7 %","85.4 %","80.4 %","54.3 %","60.9 %","9.2 %","-1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","-7.8","6.2","22 - 39","7.3","19.2","0.0","44.3 %","26.5 %","29.2 %","14.6 %","56.8 %","28.6 %","28.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","29","2405","5546","6466","1500","970","314","33","183","850","805","705","153","874","72","51","92","142","43","23",".270","2068","1691","920","203","23274","9224","14050","129","136","16","10.9 %","13.5 %","0.81",".357",".438",".795",".168",".290","1.22","19.7 %","44.2 %","36.1 %","12.0 %","10.8 %","6.2 %","11.8 %",".340","62.7","864","41.7","-13.1","200.6","41.5","282.1","27.5","$115.3","3.8","105","13.06","-110.36","123.41","101.91","10.06","1.04","1.58","235","7.23","5.28","59.8 %","89.9","14.3 %","82.5","0.7 %","86.3","9.5 %","75.4","12.1 %","81.2","2.3 %","82.4","1.4 %","71.7","10.5 %","0.8 %","36.7","-3.1","0.3","10.4","-18.3","-7.6","0.9","0.30","-0.11","0.19","0.53","-0.73","-1.57","0.32","20.4 %","69.8 %","45.4 %","67.5 %","86.0 %","81.9 %","50.5 %","56.9 %","8.0 %","-6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4","-2.8","0.7","22 - 39","35.7","17.4","-3.9","44.7 %","30.1 %","25.3 %","13.9 %","57.6 %","28.5 %","27.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","27","2255","5623","6285","1531","992","284","54","201","827","800","518","32","1144","50","43","50","110","86","50",".272","1868","1663","902","155","23538","8798","14740","123","139","42","8.2 %","18.2 %","0.45",".337",".449",".786",".177",".308","1.12","20.3 %","42.1 %","37.5 %","9.3 %","12.1 %","6.6 %","30.2 %",".339","43.9","823","45.7","-25.7","195.0","-15.8","222.6","21.7","$91.0","4.9","106","-2.13","-107.53","105.40","41.40","3.86","0.96","1.24","104","3.09","-5.31","61.7 %","90.1","12.5 %","82.6","1.1 %","85.5","9.9 %","75.5","11.9 %","80.8","2.1 %","82.2","1.0 %","69.2","15.5 %","0.2 %","26.3","-11.2","-1.9","1.7","13.6","-8.4","8.4","0.22","-0.45","-0.88","0.08","0.58","-2.07","4.47","25.0 %","70.4 %","46.7 %","64.7 %","84.6 %","79.0 %","47.9 %","59.4 %","9.8 %","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-41.5","-5.8","5.2","21 - 36","49.5","19.5","4.5","45.9 %","28.0 %","26.2 %","12.7 %","61.9 %","25.4 %","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","29","2217","5728","6459","1545","1005","336","15","189","793","752","608","40","1061","55","43","25","142","47","22",".270","1947","1787","946","222","25153","9754","15399","125","55","12","9.4 %","16.4 %","0.57",".343",".433",".776",".163",".300","1.09","20.2 %","41.6 %","38.2 %","12.4 %","10.6 %","6.4 %","21.8 %",".337","36.2","837","16.5","-4.8","200.4","-15.2","211.2","20.6","$86.3","3.3","102","1.17","-119.74","120.91","-10.41","-1.12","1.06","1.40","120","1.07","0.03","62.5 %","90.3","14.2 %","82.6","1.8 %","87.1","7.7 %","76.2","11.8 %","80.8","2.1 %","84.0","","","11.4 %","0.2 %","42.8","-23.8","-0.8","-5.6","16.0","-7.1","","0.31","-0.75","-0.21","-0.33","0.61","-1.54","","19.6 %","66.5 %","43.1 %","65.1 %","86.0 %","81.3 %","50.1 %","56.9 %","8.0 %","-5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20.0","-1.6","-2.7","22 - 39","10.7","20.1","-1.5","45.4 %","27.6 %","27.0 %","12.9 %","58.6 %","28.5 %","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
