"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Yankees","31","2430","5651","6455","1608","1050","327","21","210","930","902","649","43","1053","72","49","34","139","139","35",".285","2093","1637","884","157","24637","9640","14997","122","66","17","10.1 %","16.3 %","0.62",".363",".461",".824",".177",".315","1.28","19.2 %","45.4 %","35.5 %","9.6 %","12.8 %","5.8 %","25.8 %",".356","132.9","943","111.4","-77.1","202.7","-14.8","251.0","24.2","$116.3","4.9","113","13.17","-108.95","122.12","148.87","14.28","0.99","1.49","106","10.89","2.41","62.1 %","91.1","12.6 %","82.9","1.9 %","87.7","9.3 %","76.5","11.1 %","81.8","1.9 %","84.6","1.2 %","67.5","1.9 %","0.1 %","101.7","5.7","1.8","2.7","9.1","7.7","-1.2","0.68","0.19","0.38","0.12","0.34","1.72","-0.40","20.6 %","67.0 %","44.4 %","55.9 %","89.1 %","81.5 %","51.2 %","57.2 %","8.1 %","7.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-91.9","9.9","-5.7","21 - 42","118.9","21.4","3.2","40.2 %","34.2 %","25.6 %","11.2 %","60.8 %","28.0 %","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","28","2329","5596","6241","1591","1017","348","27","199","809","778","514","31","906","63","52","16","166","65","33",".284","1996","1805","918","144","23561","8696","14865","98","39","14","8.2 %","14.5 %","0.57",".348",".463",".811",".179",".306","1.11","19.5 %","42.3 %","38.2 %","8.0 %","11.0 %","4.9 %","35.9 %",".349","90.7","874","58.6","19.5","196.0","-16.1","263.6","25.4","$122.1","4.1","107","2.36","-107.17","109.53","19.53","1.93","0.95","1.35","112","3.71","-1.24","61.6 %","90.6","14.3 %","82.7","2.6 %","86.7","8.9 %","75.4","10.8 %","81.2","1.5 %","83.1","0.3 %","66.6","2.0 %","0.1 %","25.8","7.9","-7.5","10.3","28.1","3.3","1.2","0.18","0.24","-1.24","0.51","1.12","0.97","1.61","23.5 %","64.1 %","44.7 %","63.4 %","90.9 %","84.0 %","52.2 %","58.0 %","7.1 %","-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","-3.7","-0.8","22 - 37","43.6","20.7","-10.5","38.5 %","36.2 %","25.3 %","9.8 %","62.0 %","28.3 %","25.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","28","2135","5619","6303","1576","1002","351","27","196","870","839","556","42","1204","54","43","30","127","55","23",".280","1856","1667","913","138","24310","9138","15172","104","52","14","8.8 %","19.1 %","0.46",".349",".457",".806",".177",".324","1.11","20.6 %","41.8 %","37.6 %","8.3 %","11.8 %","5.6 %","26.9 %",".347","82.0","873","65.6","-47.3","197.9","-14.1","220.2","21.2","$102.0","4.2","108","4.61","-102.94","107.55","95.44","9.16","0.92","1.50","97","5.99","-1.00","58.5 %","90.7","14.9 %","82.7","2.7 %","86.0","9.1 %","75.6","12.7 %","80.9","1.4 %","84.3","0.8 %","69.1","3.1 %","0.1 %","83.8","-9.3","-0.5","-6.2","-7.6","4.8","-3.7","0.61","-0.26","-0.08","-0.29","-0.25","1.48","-2.11","22.2 %","66.6 %","45.3 %","54.2 %","86.8 %","79.2 %","52.0 %","59.1 %","9.4 %","-2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-61.4","-1.4","-3.3","22 - 37","62.8","20.9","1.8","40.5 %","33.0 %","26.4 %","10.1 %","60.5 %","29.5 %","31.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","29","2286","5657","6318","1586","1039","291","20","236","868","839","502","33","1056","58","57","44","118","93","48",".280","1931","1746","924","194","23942","8861","15081","121","101","21","7.9 %","16.7 %","0.48",".342",".464",".806",".184",".305","1.11","20.1 %","42.0 %","37.9 %","11.1 %","13.5 %","6.3 %","20.8 %",".346","75.8","869","22.8","-17.9","198.4","-16.2","199.6","19.3","$92.4","4.2","103","5.33","-108.10","113.44","53.63","4.86","0.95","1.29","135","4.89","0.69","61.0 %","90.6","15.1 %","83.0","2.0 %","87.6","8.9 %","75.9","11.5 %","80.9","1.6 %","84.3","","","2.3 %","0.2 %","90.2","-30.8","-4.6","10.5","9.7","5.3","","0.63","-0.87","-0.96","0.51","0.36","1.44","","24.1 %","68.4 %","47.0 %","58.6 %","88.3 %","80.9 %","51.6 %","58.6 %","8.9 %","-8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-34.1","-4.7","-10.9","21 - 40","14.4","20.9","7.2","41.7 %","31.7 %","26.6 %","11.0 %","59.0 %","30.0 %","28.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","30","2410","5687","6509","1518","967","294","41","216","865","823","626","67","1203","95","44","57","115","92","25",".267","1963","1621","903","194","24872","9594","15278","126","98","15","9.6 %","18.5 %","0.52",".347",".447",".794",".180",".302","1.21","20.1 %","43.7 %","36.1 %","12.0 %","13.3 %","6.4 %","15.3 %",".341","51.8","869","-3.0","-8.6","204.4","43.2","268.0","25.9","$124.1","4.9","100","3.97","-115.90","119.87","64.21","6.21","1.01","1.37","296","4.93","-1.01","60.6 %","90.0","15.5 %","82.0","2.1 %","87.1","8.6 %","74.9","11.4 %","81.2","1.5 %","83.7","0.4 %","67.6","2.5 %","0.1 %","98.4","-20.5","5.0","2.0","-7.2","-3.1","-2.7","0.67","-0.55","0.98","0.10","-0.26","-0.87","-2.76","22.3 %","64.2 %","43.7 %","54.2 %","88.8 %","80.2 %","51.1 %","57.5 %","8.6 %","18.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","5.1","4.9","21 - 43","15.5","13.5","8.5","43.0 %","33.4 %","23.7 %","12.2 %","57.3 %","30.5 %","31.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","30","2346","5619","6435","1510","975","327","16","192","820","777","672","56","1056","66","56","22","136","51","23",".269","1818","1845","918","194","25271","9803","15468","93","60","20","10.4 %","16.4 %","0.64",".351",".435",".786",".166",".298","0.99","20.0 %","39.7 %","40.3 %","10.5 %","10.4 %","5.1 %","33.3 %",".340","48.6","856","-3.0","-28.9","202.1","-14.5","166.6","16.1","$77.1","3.4","100","4.21","-114.06","118.27","9.10","0.76","1.02","1.55","93","3.36","0.78","59.3 %","90.5","15.0 %","82.8","3.2 %","86.7","9.5 %","75.9","11.5 %","80.9","1.5 %","84.0","","","2.5 %","0.2 %","81.2","-10.4","-3.1","-0.7","-5.8","-8.9","","0.56","-0.28","-0.40","-0.03","-0.20","-2.45","","21.7 %","64.0 %","43.3 %","57.1 %","90.1 %","82.0 %","51.1 %","57.9 %","7.7 %","-10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-43.5","-2.3","-10.6","22 - 43","-13.3","21.3","2.6","43.7 %","33.1 %","23.2 %","8.6 %","64.5 %","26.9 %","29.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","28","2435","5583","6284","1510","950","312","26","222","849","818","526","48","1169","52","44","78","132","52","35",".270","1908","1610","898","151","23335","8778","14557","119","119","15","8.4 %","18.6 %","0.45",".337",".455",".791",".184",".304","1.19","20.3 %","43.2 %","36.5 %","9.4 %","13.8 %","6.2 %","12.6 %",".339","32.1","821","0.3","7.0","197.3","41.1","245.4","23.7","$113.6","4.0","100","3.86","-111.95","115.81","75.26","7.65","1.01","1.19","299","5.72","-1.91","58.3 %","90.6","18.8 %","82.5","2.2 %","87.2","8.8 %","75.6","10.4 %","81.1","1.4 %","84.2","0.0 %","70.4","3.3 %","0.1 %","66.9","-34.4","-8.7","4.3","14.4","-3.5","-0.1","0.51","-0.81","-1.75","0.21","0.62","-1.08","-1.94","24.1 %","70.5 %","47.7 %","53.9 %","86.4 %","78.3 %","50.8 %","60.2 %","10.3 %","-13.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1","-7.1","-4.8","22 - 40","-13.1","13.0","-1.5","38.8 %","34.9 %","26.3 %","10.8 %","59.1 %","30.1 %","30.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","28","2227","5659","6273","1571","1008","357","23","183","835","799","505","35","1061","40","50","18","148","53","24",".278","1972","1722","926","200","23693","8816","14877","140","45","16","8.1 %","16.9 %","0.48",".338",".446",".784",".168",".311","1.15","20.0 %","42.7 %","37.3 %","11.6 %","10.6 %","7.1 %","35.6 %",".337","30.7","818","-24.1","-6.9","197.0","-14.8","164.6","15.9","$76.2","3.9","97","-0.64","-107.75","107.11","19.46","1.81","0.95","1.33","39","-0.09","-0.58","58.8 %","90.7","15.0 %","83.1","2.5 %","86.3","9.5 %","76.1","12.2 %","81.1","1.4 %","84.5","0.6 %","68.0","1.9 %","0.1 %","37.8","-20.3","1.8","7.4","12.0","-7.4","-0.2","0.28","-0.58","0.31","0.33","0.42","-2.25","-0.10","23.7 %","67.3 %","46.2 %","59.2 %","87.7 %","80.7 %","51.7 %","58.4 %","8.9 %","-7.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21.7","-2.1","-2.7","21 - 39","-31.5","20.8","-2.6","41.2 %","33.7 %","25.1 %","10.7 %","60.5 %","28.8 %","27.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","29","2384","5628","6394","1552","1034","307","58","153","820","787","601","61","959","51","48","66","140","128","49",".276","2053","1695","918","145","23782","9156","14626","125","116","26","9.4 %","15.0 %","0.63",".348",".432",".781",".157",".307","1.21","19.7 %","44.0 %","36.3 %","8.6 %","9.0 %","6.1 %","22.4 %",".337","25.3","828","8.1","-43.9","200.8","41.3","214.8","20.7","$99.5","5.3","101","1.57","-109.69","111.25","47.97","4.64","0.99","1.17","285","3.50","-1.91","61.1 %","89.4","15.4 %","81.8","2.9 %","86.8","8.8 %","75.0","11.0 %","80.9","0.8 %","85.1","0.0 %","66.4","2.7 %","0.1 %","31.1","3.2","-6.3","-7.0","15.4","3.8","1.7","0.22","0.09","-0.94","-0.35","0.61","2.17","18.48","21.3 %","67.2 %","45.0 %","58.5 %","89.6 %","82.4 %","51.7 %","58.2 %","7.8 %","-4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.6","1.7","-4.8","21 - 40","3.4","13.3","-1.7","39.9 %","34.4 %","25.7 %","10.7 %","62.2 %","27.1 %","26.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","28","2226","5602","6228","1608","1156","275","34","143","801","754","490","46","872","50","55","31","163","101","42",".287","2219","1493","1007","141","23216","8566","14650","143","97","29","7.9 %","14.0 %","0.56",".347",".425",".771",".138",".316","1.49","21.3 %","47.0 %","31.6 %","9.4 %","9.6 %","6.4 %","29.9 %",".334","14.7","796","7.4","29.8","195.6","-16.3","235.6","22.7","$109.1","4.6","101","3.60","-104.38","107.98","32.02","3.25","0.96","1.30","93","0.55","3.21","62.2 %","91.2","13.4 %","82.7","3.0 %","86.0","7.7 %","76.4","10.9 %","81.3","1.9 %","83.9","0.9 %","68.1","3.1 %","0.2 %","-0.6","-6.5","-7.0","11.6","20.5","-11.0","2.0","0.00","-0.22","-1.03","0.67","0.83","-2.58","1.06","24.1 %","63.9 %","44.8 %","64.7 %","90.8 %","84.0 %","51.9 %","58.3 %","7.1 %","-1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","-0.6","12.1","21 - 40","5.9","20.6","-12.9","36.7 %","35.8 %","27.5 %","12.4 %","62.3 %","25.3 %","24.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
