"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Rockies","28","2179","5690","6394","1663","1065","324","61","213","923","874","511","50","1027","61","50","81","116","132","54",".292","","","","","","","","","","","8.0 %","16.1 %","0.50",".354",".483",".837",".191",".322","","","","","","","","",".357","154.0","948","-44.6","61.0","199.4","41.6","270.2","26.5","","5.8","95","0.43","-118.53","118.96","44.14","3.32","1.01","1.31","310","6.13","-5.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.6","2.6","","22 - 36","-42.0","10.1","","","","","","","","27.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","30","1897","5685","6388","1566","971","326","23","246","890","844","548","27","1093","75","55","25","131","97","32",".275","","","","","","","","","","","8.6 %","17.1 %","0.50",".344",".471",".815",".195",".300","","","","","","","","",".349","117.7","911","65.6","-47.0","199.3","-14.8","230.8","22.4","","4.5","108","1.00","-112.82","113.83","51.91","5.17","0.98","1.46","100","8.33","-7.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-61.8","5.2","","23 - 40","70.8","22.6","","","","","","","","29.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","31","2043","5680","6474","1637","1120","310","38","169","927","881","614","54","989","62","70","48","112","174","42",".288","","","","","","","","","","","9.5 %","15.3 %","0.62",".360",".445",".805",".157",".320","","","","","","","","",".347","108.7","912","126.8","101.0","201.9","-16.4","452.4","44.4","","5.7","116","17.77","-100.91","118.68","174.06","17.44","0.95","1.36","105","14.27","4.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6","16.2","","24 - 38","143.0","22.9","","","","","","","","27.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","29","1901","5600","6357","1559","1016","294","37","212","897","868","577","32","1076","69","62","49","126","79","41",".278","","","","","","","","","","","9.1 %","16.9 %","0.54",".350",".458",".807",".179",".308","","","","","","","","",".347","106.7","896","93.1","-52.0","198.3","-15.4","244.0","23.7","","4.7","112","5.32","-110.20","115.52","69.72","6.49","0.98","1.47","96","3.85","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-67.4","-2.4","","20 - 36","90.7","22.4","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","29","2121","5528","6325","1500","950","313","29","208","847","805","581","52","1119","89","56","71","128","64","49",".271","","","","","","","","","","","9.2 %","17.7 %","0.52",".347",".451",".798",".180",".304","","","","","","","","",".343","76.2","861","6.8","-3.0","197.3","39.1","241.4","23.6","","4.0","101","4.25","-112.69","116.94","43.69","4.11","1.01","1.27","246","4.23","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1","-8.8","","21 - 36","-1.9","10.0","","","","","","","","30.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","30","2231","5612","6408","1493","914","304","40","235","799","775","625","79","1090","50","54","67","108","57","42",".266","","","","","","","","","","","9.8 %","17.0 %","0.57",".342",".460",".802",".194",".290","","","","","","","","",".341","75.9","871","67.4","5.0","199.9","41.3","316.5","30.9","","4.0","108","4.71","-109.88","114.58","60.98","6.25","0.99","1.30","258","10.49","-5.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3","-7.2","","22 - 40","60.2","10.1","","","","","","","","30.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","28","1830","5573","6385","1469","914","334","22","199","884","835","640","57","1021","88","59","25","131","68","29",".264","","","","","","","","","","","10.0 %","16.0 %","0.63",".345",".439",".784",".175",".288","","","","","","","","",".338","59.5","852","63.8","19.0","199.2","-18.6","286.6","28.0","","4.2","108","10.75","-106.31","117.06","129.86","12.71","0.98","1.37","87","8.68","2.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.6","","23 - 36","64.5","22.5","","","","","","","","29.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","28","1906","5464","6151","1463","920","300","29","214","798","770","520","31","998","52","51","63","128","123","59",".268","","","","","","","","","","","8.5 %","16.2 %","0.52",".334",".451",".785",".183",".290","","","","","","","","",".337","50.3","814","29.7","8.0","191.9","-15.1","234.9","23.0","","4.7","104","1.60","-106.35","107.95","-0.49","-0.21","0.96","1.68","91","0.38","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.1","-1.3","","21 - 42","28.4","21.7","","","","","","","","28.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","29","2180","5595","6349","1494","967","284","35","208","818","776","587","73","1052","57","36","71","105","71","38",".267","","","","","","","","","","","9.2 %","16.6 %","0.56",".341",".442",".783",".175",".294","","","","","","","","",".336","41.8","830","-28.8","50.0","198.0","38.6","265.2","26.0","","4.4","97","-2.15","-111.72","109.57","37.53","3.41","0.99","1.43","314","3.47","-5.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.6","-2.6","","22 - 41","-31.4","10.0","","","","","","","","29.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","29","2300","5450","6177","1469","964","274","32","199","814","768","529","51","1089","65","50","83","125","91","35",".270","","","","","","","","","","","8.6 %","17.6 %","0.49",".339",".441",".780",".172",".302","","","","","","","","",".335","35.3","802","8.5","64.0","192.7","39.0","316.6","31.1","","4.6","101","3.24","-100.84","104.08","57.95","6.16","0.93","0.99","252","4.92","-1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.0","2.7","","21 - 38","11.2","9.7","","","","","","","","29.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
