"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Red Sox","30","2313","5769","6530","1667","1018","371","40","238","961","932","620","61","943","53","64","24","126","88","35",".289","1819","1879","1168","237","24946","9569","15377","95","48","9","9.5 %","14.4 %","0.66",".360",".491",".851",".202",".307","0.97","24.0 %","37.4 %","38.6 %","12.6 %","12.7 %","5.2 %","18.8 %",".364","196.0","997","163.7","-46.4","201.7","-15.2","330.9","32.6","$140.1","4.8","120","13.30","-111.44","124.74","159.40","15.10","1.00","1.67","110","14.43","-1.16","63.8 %","89.6","10.7 %","82.3","","","10.3 %","75.5","12.7 %","80.1","2.1 %","83.1","0.4 %","70.1","0.5 %","","160.5","21.3","","17.0","2.9","-7.3","1.5","1.01","0.80","","0.67","0.09","-1.39","1.53","20.3 %","70.8 %","46.1 %","52.8 %","90.0 %","82.0 %","51.0 %","57.2 %","8.3 %","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-61.5","1.5","0.0","23 - 38","167.2","23.5","2.0","45.4 %","25.7 %","29.0 %","14.7 %","59.4 %","25.9 %","27.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","30","2362","5670","6378","1608","1021","321","31","235","907","872","545","46","933","49","49","65","124","68","22",".284","2069","1670","1007","190","23138","8766","14372","143","105","10","8.5 %","14.6 %","0.58",".349",".475",".824",".192",".302","1.24","21.2 %","43.6 %","35.2 %","11.4 %","14.1 %","6.9 %","9.5 %",".354","134.1","916","95.9","6.6","197.0","40.1","361.3","35.6","$153.0","4.5","112","14.20","-100.14","114.34","171.05","16.96","0.93","1.11","238","15.19","0.02","62.8 %","90.2","13.7 %","82.7","","","10.3 %","76.1","11.8 %","81.3","1.5 %","82.2","","","1.1 %","","94.8","5.0","","7.9","23.0","-1.6","","0.66","0.16","","0.34","0.85","-0.48","","21.1 %","71.5 %","47.4 %","48.8 %","87.3 %","79.1 %","52.1 %","59.1 %","9.9 %","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7","3.2","2.6","22 - 44","105.3","12.3","3.7","45.0 %","28.3 %","26.7 %","15.4 %","58.2 %","26.4 %","26.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","31","2180","5605","6431","1518","970","304","14","230","877","845","684","54","1042","81","35","25","154","98","33",".271","1979","1601","991","165","24518","9743","14775","118","52","20","10.6 %","16.2 %","0.66",".356",".453",".810",".182",".295","1.24","21.7 %","43.3 %","35.0 %","10.3 %","14.4 %","6.0 %","38.5 %",".351","125.7","914","119.7","-56.8","198.7","-15.2","269.3","26.5","$114.0","4.1","115","9.39","-102.89","112.28","108.61","10.73","0.92","1.52","98","10.70","-0.52","63.1 %","89.4","10.2 %","81.9","","","10.6 %","75.2","12.5 %","80.5","1.8 %","83.1","1.8 %","67.3","1.5 %","","128.6","7.3","","-16.8","10.7","-8.2","-3.4","0.84","0.29","","-0.66","0.36","-1.89","-0.78","20.1 %","68.5 %","44.2 %","47.0 %","87.9 %","78.5 %","49.7 %","56.5 %","9.5 %","-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-72.0","4.4","-6.0","23 - 46","119.4","23.2","1.3","44.8 %","29.0 %","26.2 %","16.0 %","57.3 %","26.7 %","30.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","29","2278","5661","6364","1580","1000","357","33","190","894","853","546","40","1081","90","56","11","146","37","25",".279","1869","1593","1153","146","24144","9180","14964","120","32","13","8.6 %","17.0 %","0.51",".349",".455",".803",".175",".313","1.17","25.0 %","40.5 %","34.5 %","9.2 %","11.9 %","6.4 %","40.6 %",".347","104.6","885","62.4","-73.5","196.6","-15.3","187.4","18.4","$79.3","3.9","108","7.35","-103.05","110.40","93.01","8.62","0.92","1.51","125","6.86","1.13","64.1 %","89.3","10.3 %","82.2","","","11.4 %","75.0","10.9 %","79.4","1.4 %","83.9","1.9 %","67.7","8.5 %","","102.3","-12.5","","7.3","-4.2","-5.7","3.0","0.72","-0.55","","0.29","-0.18","-1.79","0.70","22.4 %","68.1 %","45.4 %","53.5 %","87.3 %","79.0 %","50.3 %","59.1 %","9.5 %","-5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-88.7","-4.3","3.4","24 - 38","56.6","22.9","-4.8","42.2 %","27.6 %","30.2 %","13.2 %","61.8 %","25.0 %","28.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","30","2391","5672","6466","1580","1010","342","32","196","876","827","580","68","952","73","54","87","136","82","32",".279","1979","1648","1079","188","24091","9116","14975","112","155","36","9.0 %","14.7 %","0.61",".350",".454",".804",".175",".302","1.20","22.9 %","42.1 %","35.0 %","11.4 %","11.9 %","5.7 %","23.2 %",".346","95.2","888","74.8","17.0","199.7","36.5","349.6","34.4","$148.0","4.5","109","9.23","-107.38","116.62","133.74","13.58","0.97","1.15","292","13.25","-3.74","65.4 %","89.9","11.9 %","82.0","","","11.2 %","74.9","9.7 %","78.3","1.3 %","84.5","0.5 %","56.8","10.8 %","","82.8","-24.6","","4.9","13.3","-1.8","-0.3","0.59","-0.96","","0.20","0.64","-0.63","-0.31","23.7 %","68.2 %","46.1 %","58.1 %","88.3 %","80.6 %","50.4 %","58.3 %","8.9 %","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5","1.7","8.0","22 - 40","83.9","12.5","-0.5","42.8 %","28.1 %","29.1 %","16.2 %","58.8 %","25.0 %","26.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","29","2352","5518","6283","1472","913","330","31","198","853","814","619","46","1134","52","38","55","140","63","37",".267","1925","1461","995","153","24046","9091","14955","116","96","21","9.9 %","18.0 %","0.55",".344",".445",".790",".179",".302","1.32","22.7 %","43.9 %","33.3 %","10.5 %","13.6 %","6.0 %","21.9 %",".342","72.6","843","-79.4","2.2","194.1","37.4","167.4","16.5","$70.9","4.2","90","-1.80","-106.10","104.30","21.28","1.00","0.93","1.06","285","2.13","-4.06","65.8 %","88.9","13.9 %","79.4","","","8.2 %","74.7","10.5 %","78.7","1.4 %","81.7","0.2 %","68.6","8.1 %","","71.1","-2.8","","9.3","-8.6","2.6","2.3","0.49","-0.09","","0.51","-0.37","0.88","5.73","22.3 %","69.0 %","46.1 %","52.2 %","86.4 %","78.3 %","50.9 %","59.0 %","10.0 %","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6","-4.3","8.1","22 - 38","-78.4","12.1","-2.8","42.8 %","28.2 %","29.0 %","15.9 %","59.7 %","24.4 %","31.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","28","2311","5664","6293","1506","957","274","36","239","826","799","488","31","1052","75","42","24","115","65","25",".266","1742","1749","1124","254","23915","8806","15109","119","62","19","7.8 %","16.7 %","0.46",".330",".454",".784",".188",".287","1.00","24.4 %","37.7 %","37.9 %","14.5 %","13.7 %","6.8 %","30.6 %",".338","52.3","824","-9.7","5.9","194.4","-15.5","205.7","20.2","$87.1","4.6","99","-2.36","-105.50","103.14","1.90","-0.31","0.92","1.57","79","0.70","-3.26","60.0 %","89.6","10.6 %","82.6","","","11.4 %","76.0","15.4 %","79.9","1.6 %","83.6","1.1 %","70.4","3.5 %","","84.0","-18.6","","2.8","0.6","-12.2","7.3","0.61","-0.76","","0.11","0.02","-3.38","2.76","21.8 %","70.1 %","46.3 %","44.1 %","89.3 %","78.8 %","50.7 %","58.2 %","9.8 %","7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.5","1.3","0.6","22 - 38","-1.8","22.7","5.9","47.1 %","26.6 %","26.4 %","15.6 %","57.0 %","27.4 %","28.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","28","2277","5487","6148","1445","903","303","19","220","791","766","519","27","916","58","41","43","132","77","29",".263","1780","1757","1022","245","23558","8843","14715","110","96","24","8.4 %","14.9 %","0.57",".331",".446",".777",".182",".279","1.01","22.4 %","39.0 %","38.5 %","13.9 %","12.5 %","6.2 %","25.0 %",".336","41.5","795","8.2","28.0","189.9","-15.1","228.1","22.5","$96.6","4.2","101","-4.28","-107.22","102.94","-4.53","-0.59","0.94","1.49","118","0.65","-5.19","63.3 %","89.4","11.5 %","82.5","","","9.1 %","75.9","13.2 %","80.3","1.2 %","84.0","1.7 %","68.6","1.9 %","","65.0","-17.4","","7.9","-14.0","-7.9","-6.0","0.44","-0.65","","0.38","-0.46","-2.74","-1.57","19.9 %","68.7 %","45.4 %","54.1 %","89.0 %","81.7 %","52.3 %","58.1 %","8.3 %","-5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","2.0","-2.8","23 - 37","3.1","22.2","-4.3","47.0 %","25.7 %","27.2 %","15.8 %","59.7 %","24.5 %","26.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","28","2269","5655","6324","1567","1049","318","45","155","801","755","512","36","1027","63","52","42","139","94","44",".277","2147","1450","1028","143","23108","8600","14508","135","95","31","8.1 %","16.2 %","0.50",".341",".431",".772",".154",".312","1.48","22.2 %","46.4 %","31.4 %","9.9 %","10.7 %","6.3 %","32.6 %",".335","39.8","815","18.0","21.2","195.3","-15.7","243.4","24.0","$103.0","4.8","102","2.31","-111.04","113.35","6.55","0.51","0.99","1.50","120","0.17","2.16","61.9 %","89.1","12.7 %","79.9","","","9.4 %","74.7","13.4 %","78.3","1.5 %","82.4","1.1 %","68.7","6.9 %","","51.7","-8.9","","-7.1","-7.0","-6.5","0.0","0.39","-0.32","","-0.35","-0.24","-2.02","0.00","23.7 %","70.7 %","47.7 %","49.1 %","87.4 %","78.1 %","51.0 %","58.2 %","10.5 %","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","-1.1","2.4","22 - 46","19.8","22.8","0.5","45.7 %","26.4 %","27.9 %","13.9 %","61.4 %","24.7 %","26.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","29","2390","5583","6320","1466","937","308","30","191","805","763","557","44","1021","81","38","61","125","66","30",".263","1931","1661","965","178","23262","8784","14478","117","103","21","8.8 %","16.2 %","0.55",".336",".431",".767",".169",".289","1.16","21.2 %","42.4 %","36.4 %","10.7 %","11.5 %","6.1 %","20.4 %",".333","24.5","799","-26.8","41.2","195.2","35.4","268.1","26.4","$113.5","4.3","97","-2.93","-110.30","107.37","44.34","4.23","0.98","1.34","287","3.24","-6.23","64.7 %","90.3","13.1 %","82.9","","","10.8 %","75.7","9.7 %","80.1","1.8 %","82.4","0.0 %","78.0","3.1 %","","29.9","2.4","","-12.9","15.5","3.6","0.0","0.20","0.08","","-0.53","0.71","0.90","2.18","21.1 %","71.5 %","47.1 %","43.3 %","87.7 %","78.1 %","51.7 %","59.8 %","10.3 %","10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6","-0.6","10.7","24 - 37","-15.9","12.2","0.8","45.3 %","26.9 %","27.8 %","17.0 %","58.3 %","24.7 %","28.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
