"Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Red Sox","31","2344","5626","6403","1579","1020","339","21","199","910","863","653","34","1044","47","63","14","135","45","12",".281","1918","1664","1044","171","24717","9593","15124","139","33","11","10.2 %","16.3 %","0.63",".357",".454",".811",".174",".310","1.15","22.6 %","41.5 %","36.0 %","10.3 %","12.0 %","7.2 %","33.3 %",".352","138.1","906","95.6","-18.8","195.4","-15.2","275.0","27.6","$129.6","3.9","112","15.77","-102.63","118.40","145.68","14.03","0.97","1.05","108","9.00","7.32","62.2 %","90.4","15.2 %","82.4","2.2 %","88.1","7.8 %","75.1","10.9 %","80.8","1.6 %","83.2","","","2.2 %","0.3 %","142.5","-17.9","-1.6","8.2","9.1","2.9","","0.95","-0.49","-0.30","0.44","0.35","0.74","","17.0 %","67.0 %","43.8 %","51.7 %","89.4 %","82.6 %","53.6 %","57.8 %","7.6 %","-2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-33.9","1.5","-11.4","21 - 42","92.8","20.8","7.0","43.0 %","30.3 %","26.7 %","13.2 %","55.2 %","31.6 %","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","32","2319","5624","6406","1552","1048","259","16","229","886","847","637","41","989","73","43","28","125","84","27",".276","2173","1659","816","170","23984","9372","14612","142","58","15","9.9 %","15.4 %","0.64",".355",".450",".805",".174",".297","1.31","17.6 %","46.8 %","35.7 %","10.2 %","13.8 %","6.5 %","25.9 %",".350","127.0","895","121.9","-143.7","195.5","-17.2","173.9","17.4","$81.9","4.0","116","15.40","-99.72","115.12","156.00","15.76","0.94","1.55","94","14.12","2.19","61.0 %","90.1","13.7 %","82.2","1.7 %","86.0","8.6 %","75.0","11.1 %","80.8","1.6 %","83.7","2.4 %","68.0","2.8 %","0.3 %","118.7","13.7","7.4","10.9","-3.0","-7.4","-3.6","0.84","0.43","1.88","0.54","-0.12","-2.07","-0.64","17.6 %","66.5 %","43.3 %","51.4 %","89.1 %","81.9 %","52.6 %","57.5 %","7.8 %","-3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-160.9","3.0","-14.5","20 - 41","118.5","20.8","8.1","47.1 %","28.1 %","24.8 %","17.7 %","51.0 %","31.2 %","29.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","29","2193","5716","6301","1528","928","311","29","260","865","834","495","20","1112","48","32","9","123","67","15",".267","1849","1825","956","198","23931","8906","15025","110","15","4","7.9 %","17.6 %","0.45",".329",".468",".798",".201",".290","1.01","20.6 %","39.9 %","39.4 %","10.8 %","14.2 %","5.9 %","26.7 %",".344","91.9","847","42.9","-38.6","192.3","-15.7","207.6","20.8","$97.9","4.5","106","4.04","-110.50","114.54","85.54","8.04","0.97","1.65","57","7.98","-3.82","58.3 %","90.5","16.9 %","82.5","2.5 %","85.5","8.6 %","75.6","11.2 %","80.6","1.7 %","85.0","0.8 %","68.6","4.2 %","0.1 %","126.1","-24.3","3.9","7.4","-6.5","-15.3","-1.5","0.94","-0.63","0.68","0.38","-0.25","-3.99","-0.78","21.7 %","70.1 %","47.0 %","49.9 %","87.5 %","79.2 %","52.2 %","58.2 %","9.7 %","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-54.3","5.0","-0.3","21 - 40","49.1","20.4","1.5","43.7 %","30.9 %","25.4 %","13.8 %","55.8 %","30.5 %","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","28","2309","5565","6321","1453","881","335","15","222","820","784","611","42","1303","62","39","43","116","72","23",".261","1862","1476","920","150","24357","9393","14964","104","84","17","9.7 %","20.6 %","0.47",".339",".446",".785",".185",".302","1.26","21.6 %","43.7 %","34.7 %","10.2 %","15.0 %","5.6 %","20.2 %",".340","70.2","828","22.7","-45.6","192.9","35.4","231.1","23.2","$108.9","3.9","103","4.54","-109.88","114.42","77.61","7.86","0.99","1.03","260","4.70","-0.12","62.4 %","90.2","14.9 %","82.6","3.0 %","85.4","8.7 %","75.2","9.8 %","80.8","1.2 %","84.3","","","10.8 %","0.1 %","60.2","-11.8","2.2","-5.8","23.9","-5.0","","0.44","-0.37","0.34","-0.31","1.13","-1.99","","22.4 %","65.4 %","43.5 %","54.0 %","85.9 %","77.5 %","48.9 %","58.1 %","9.7 %","12.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.3","2.6","9.5","21 - 37","35.5","12.9","0.8","41.9 %","30.8 %","27.3 %","14.5 %","55.0 %","30.5 %","33.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","28","2166","5609","6255","1522","948","337","30","207","790","760","503","33","1093","54","50","39","128","62","36",".271","2025","1590","923","154","23863","8943","14920","127","67","13","8.0 %","17.5 %","0.46",".334",".453",".787",".181",".302","1.27","20.3 %","44.6 %","35.0 %","9.7 %","13.0 %","6.3 %","19.4 %",".340","71.6","822","72.9","34.9","190.9","-14.7","307.8","30.9","$145.1","4.0","110","1.37","-109.22","110.59","53.51","5.30","0.98","1.57","87","9.57","-8.18","60.0 %","90.5","15.6 %","82.5","1.9 %","85.4","8.4 %","75.5","12.4 %","80.8","1.4 %","84.1","0.4 %","67.5","3.8 %","0.1 %","88.7","-19.6","0.7","6.9","1.9","1.2","0.4","0.65","-0.55","0.17","0.36","0.07","0.38","0.40","20.4 %","67.4 %","45.3 %","50.2 %","88.4 %","80.3 %","53.0 %","58.3 %","8.9 %","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","-4.8","8.5","22 - 36","76.4","20.3","-0.1","46.5 %","28.2 %","25.4 %","13.8 %","55.1 %","31.1 %","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","30","2273","5542","6345","1494","1010","282","35","167","807","760","639","76","1083","56","46","62","107","116","27",".270","1875","1522","1055","147","24388","9513","14875","84","115","21","10.1 %","17.1 %","0.59",".348",".423",".772",".154",".306","1.23","23.7 %","42.1 %","34.2 %","9.7 %","11.0 %","4.5 %","18.3 %",".335","43.1","804","-12.2","51.7","193.7","36.6","291.9","29.3","$137.6","5.1","98","2.14","-107.25","109.39","73.60","7.38","0.99","1.36","263","3.29","-1.13","63.2 %","90.1","13.5 %","82.5","2.5 %","86.2","8.4 %","75.5","11.1 %","81.5","1.0 %","83.4","0.4 %","","2.0 %","0.2 %","72.2","-9.5","1.7","-6.0","-5.2","-1.7","-2.7","0.48","-0.30","0.29","-0.30","-0.20","-0.74","-3.07","16.7 %","64.2 %","42.3 %","47.4 %","88.4 %","81.0 %","53.9 %","56.6 %","8.0 %","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.2","9.5","-10.8","22 - 38","-2.9","13.0","10.5","41.9 %","32.7 %","25.4 %","15.4 %","52.9 %","31.7 %","29.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","28","2347","5486","6186","1453","924","308","37","184","769","733","534","56","1084","45","46","75","146","92","32",".265","1954","1501","919","145","22924","8618","14306","126","149","24","8.6 %","17.5 %","0.49",".333",".435",".768",".170",".298","1.30","21.0 %","44.7 %","34.3 %","9.7 %","12.3 %","6.4 %","16.1 %",".331","24.5","766","-1.4","59.0","188.8","37.7","295.1","29.6","$139.1","4.8","100","8.35","-104.61","112.96","52.65","5.41","0.98","1.13","245","6.11","2.43","59.7 %","90.1","13.9 %","82.5","2.9 %","86.7","9.1 %","75.7","13.1 %","81.0","1.1 %","83.3","0.3 %","67.1","1.6 %","0.3 %","84.1","-31.2","-4.3","-18.1","-5.0","-6.1","2.6","0.63","-1.00","-0.66","-0.88","-0.17","-2.39","4.32","20.5 %","70.8 %","47.4 %","48.8 %","86.2 %","78.7 %","53.5 %","58.3 %","10.0 %","-1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7","2.9","-1.5","21 - 46","-3.1","12.6","-3.1","41.3 %","30.5 %","28.2 %","17.0 %","51.6 %","31.4 %","29.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","30","2324","5538","6246","1494","1011","287","26","170","805","757","534","60","947","62","35","77","127","83","36",".270","2097","1494","976","164","23033","8496","14537","147","134","21","8.5 %","15.2 %","0.56",".339",".423",".762",".153",".297","1.40","21.4 %","45.9 %","32.7 %","11.0 %","11.4 %","7.0 %","15.7 %",".331","23.1","772","3.4","14.5","190.6","40.1","270.4","27.1","$127.5","4.5","100","8.05","-101.54","109.59","89.33","9.44","0.96","1.23","265","6.94","1.49","62.3 %","89.8","13.5 %","82.5","2.9 %","86.1","9.4 %","75.7","10.2 %","80.7","1.3 %","84.3","0.4 %","68.9","3.2 %","0.4 %","24.9","10.2","-3.6","1.6","7.2","-6.4","1.8","0.18","0.34","-0.57","0.08","0.32","-2.21","2.04","19.9 %","68.8 %","46.5 %","51.8 %","88.7 %","81.5 %","54.4 %","59.3 %","8.5 %","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7","-0.7","8.1","22 - 38","12.4","12.8","1.6","41.4 %","30.6 %","28.1 %","16.8 %","55.8 %","27.4 %","26.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","29","2323","5551","6134","1492","980","296","27","189","729","700","447","31","902","54","42","40","145","83","37",".269","1995","1714","932","221","22411","8124","14287","141","89","29","7.3 %","14.7 %","0.50",".327",".434",".761",".165",".289","1.16","20.1 %","43.0 %","36.9 %","12.9 %","11.0 %","7.1 %","32.6 %",".330","19.0","754","8.9","-2.6","187.2","-16.1","187.8","18.8","$88.5","4.3","101","-2.65","-105.07","102.42","-22.12","-2.32","0.95","1.45","85","-0.92","-1.86","61.0 %","90.5","15.0 %","82.7","3.8 %","87.0","8.3 %","75.2","9.8 %","80.9","1.3 %","82.5","0.8 %","67.4","8.1 %","0.2 %","19.8","-21.0","-2.8","1.1","-6.1","0.9","5.7","0.16","-0.68","-0.36","0.07","-0.30","0.35","3.54","24.4 %","70.0 %","47.7 %","59.5 %","89.4 %","82.0 %","51.2 %","60.0 %","8.6 %","-9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.7","-1.0","-5.5","20 - 40","-0.6","19.9","-3.0","45.0 %","28.4 %","26.6 %","14.8 %","57.6 %","27.6 %","25.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","28","2276","5584","6161","1506","966","323","23","194","703","674","419","49","920","50","37","69","131","65","39",".270","2048","1594","978","192","22226","7921","14305","132","150","32","6.8 %","14.9 %","0.46",".324",".440",".764",".170",".291","1.28","21.2 %","44.3 %","34.5 %","12.0 %","12.2 %","6.4 %","21.3 %",".329","14.9","754","-41.7","22.5","188.0","36.9","212.7","21.3","$100.2","3.7","95","-4.42","-114.92","110.50","-45.59","-4.44","1.03","1.27","240","-1.41","-2.88","62.8 %","90.3","13.8 %","82.5","2.4 %","87.0","8.7 %","75.5","10.6 %","81.1","1.5 %","84.8","0.3 %","68.6","1.8 %","0.2 %","17.0","-1.4","2.2","16.2","-1.4","-9.4","-3.3","0.12","-0.05","0.42","0.86","-0.06","-2.84","-4.80","21.3 %","71.5 %","49.1 %","52.2 %","87.8 %","80.9 %","55.3 %","59.9 %","9.3 %","-5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4","-5.3","2.5","22 - 39","-47.4","12.6","-2.8","44.4 %","27.1 %","28.5 %","18.7 %","53.3 %","28.0 %","24.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
